term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,family_name,n,AIC,BIC,p_adj_fdr
AaA,-0.931553414109623,0.288011832830122,-3.23442757526938,0.00133070173657411,-1.497934628098,-0.365172200121249,stex,Speaking,z_morphological_dist,single_distance,gaussian_pair_weighted,536,5234.62926129127,5975.78447115652,0.00402894265544343
LoR,0.255975839499519,0.505707620256617,0.50617358577596,0.613042061580066,-0.738508633827849,1.25046031282689,stex,Speaking,z_morphological_dist,single_distance,gaussian_pair_weighted,536,5234.62926129127,5975.78447115652,0.705838937987119
Edu.day,3.72370629681863,2.54624418032059,1.46243095049501,0.144488370180034,-1.283535439709,8.73094803334625,stex,Speaking,z_morphological_dist,single_distance,gaussian_pair_weighted,536,5234.62926129127,5975.78447115652,0.216732555270051
prop_female,16.0153281062082,5.04088203643155,3.17708845207286,0.00161512462894865,6.102329534895,25.9283266775213,stex,Speaking,z_morphological_dist,single_distance,gaussian_pair_weighted,536,5234.62926129127,5975.78447115652,0.00402894265544343
Enroll,0.406272110634239,0.113481938987085,3.58005964879111,0.000390218154318984,0.183107535284411,0.629436685984068,stex,Speaking,z_morphological_dist,single_distance,gaussian_pair_weighted,536,5234.62926129127,5975.78447115652,0.00402894265544343
z_phonological_dist,-0.0953916637784586,0.550948267811944,-0.173140872476649,0.862637200864797,-1.17884280431606,0.988059476759142,stex,Speaking,z_phonological_dist,single_distance,gaussian_pair_weighted,536,5234.16273213318,5975.31794199843,0.862637200864797
AaA,-0.881380561415578,0.289175482836698,-3.0479090162471,0.00247326071666224,-1.45005011716028,-0.312711005670876,stex,Speaking,z_phonological_dist,single_distance,gaussian_pair_weighted,536,5234.16273213318,5975.31794199843,0.00494652143332447
LoR,0.215422367644489,0.515760946900734,0.417678711307993,0.676428982237655,-0.798832180034913,1.22967691532389,stex,Speaking,z_phonological_dist,single_distance,gaussian_pair_weighted,536,5234.16273213318,5975.31794199843,0.705838937987119
Edu.day,3.89397064732897,2.54098662359254,1.53246404808835,0.126278990495013,-1.102931995374,8.89087329003194,stex,Speaking,z_phonological_dist,single_distance,gaussian_pair_weighted,536,5234.16273213318,5975.31794199843,0.216732555270051
prop_female,16.3566883062922,5.01609435227188,3.26084143510657,0.00121595775902856,6.49243522751089,26.2209413850735,stex,Speaking,z_phonological_dist,single_distance,gaussian_pair_weighted,536,5234.16273213318,5975.31794199843,0.00402894265544343
Enroll,0.392689317994406,0.112610984581648,3.48713155695472,0.000548109722069317,0.171237492459864,0.614141143528948,stex,Speaking,z_phonological_dist,single_distance,gaussian_pair_weighted,536,5234.16273213318,5975.31794199843,0.00402894265544343
z_inventory_dist,0.150225352518882,0.441189462158829,0.340500772125878,0.733676407781504,-0.71738283121773,1.01783353625549,stex,Speaking,z_inventory_dist,single_distance,gaussian_pair_weighted,536,5234.05627313262,5975.21148299787,0.749286544117281
AaA,-0.898538226694971,0.287917881923732,-3.12081424290621,0.00194798459505757,-1.46473468428673,-0.332341769103213,stex,Speaking,z_inventory_dist,single_distance,gaussian_pair_weighted,536,5234.05627313262,5975.21148299787,0.00406535915490275
LoR,0.21593591861504,0.512421345286353,0.421403051612478,0.673710208703663,-0.791751233558405,1.22362307078849,stex,Speaking,z_inventory_dist,single_distance,gaussian_pair_weighted,536,5234.05627313262,5975.21148299787,0.705838937987119
Edu.day,3.82816900204985,2.59463773252155,1.4754156058347,0.140967672626638,-1.2742396537514,8.93057765785109,stex,Speaking,z_inventory_dist,single_distance,gaussian_pair_weighted,536,5234.05627313262,5975.21148299787,0.216732555270051
