term,estimate,std.error,statistic,p.value,conf.low,conf.high,dataset,outcome,model_name,model_block,n,r.squared,adj.r.squared,AIC,BIC,p_adj_fdr
z_script_dist,0.246682692443874,0.333318853454312,0.740080226148043,0.461038845210462,-0.414862964342497,0.908228349230246,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.485304047589959
z_geographic_dist,-0.35233983202698,0.386965527988128,-0.910519946980367,0.364805454136877,-1.12035928761316,0.415679623559202,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.441886266140178
z_genetic_dist,-0.975209131242536,0.434334757241956,-2.24529378545515,0.0270197818451407,-1.8372433944324,-0.11317486805267,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.0540395636902814
z_syntactic_dist,1.90285832064297,2.38596008617817,0.79752311518797,0.427095275112104,-2.83261198329876,6.6383286245847,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.474550305680115
z_morphological_dist,0.727903752469321,0.585055985290205,1.24416085087696,0.216438430695485,-0.433270426652404,1.88907793159105,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.332982201069977
z_phonological_dist,-1.13764017246799,0.442472245523667,-2.57109950731846,0.0116567819832788,-2.01582509732649,-0.2594552476095,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.0259039599628417
z_inventory_dist,1.84508447162375,1.14020310981299,1.6182068402939,0.108865296996546,-0.417903077187328,4.10807202043483,toefl,Reading,all8_block,all8_block,106,0.282820387612475,0.223671553601133,519.630117729724,546.264508670844,0.18144216166091
(Intercept),22.0660377358491,0.264783623449881,83.336112136957,4.7746873454464e-97,21.5409618741496,22.5911135975485,toefl,Listening,z_featural_dist,single_distance,106,0.108063438487926,0.0994871253964638,517.405836364751,525.396153647087,
z_featural_dist,-0.944361952982976,0.266041509976461,-3.5496789695207,0.0005806621275981,-1.47193225086869,-0.416791655097259,toefl,Listening,z_featural_dist,single_distance,106,0.108063438487926,0.0994871253964638,517.405836364751,525.396153647087,0.001935540425327
(Intercept),22.0660377358491,0.276957030706224,79.6731452513842,4.76576841272427e-95,21.5168215507351,22.615253920963,toefl,Listening,z_script_dist,single_distance,106,0.0241647245405471,0.0147816930457447,526.935107718395,534.925425000731,
z_script_dist,-0.446570483860123,0.278272748471651,-1.60479416799816,0.111571613315549,-0.998395786677174,0.105254818956927,toefl,Listening,z_script_dist,single_distance,106,0.0241647245405471,0.0147816930457447,526.935107718395,534.925425000731,0.171648635870075
(Intercept),22.0660377358491,0.256270426999947,86.1045029431101,1.67418543804958e-98,21.5578438621802,22.574231609518,toefl,Listening,z_geographic_dist,single_distance,106,0.16449566116724,0.156461965601541,510.477732592387,518.468049874723,
z_geographic_dist,-1.16513517623638,0.257487870560407,-4.52500994979115,1.61004606246741e-05,-1.67574328617205,-0.654527066300705,toefl,Listening,z_geographic_dist,single_distance,106,0.16449566116724,0.156461965601541,510.477732592387,518.468049874723,0.000161004606246741
(Intercept),22.0660377358491,0.259774346614817,84.9430978208471,6.73989210880256e-98,21.5508954580941,22.581180013604,toefl,Listening,z_genetic_dist,single_distance,106,0.141492197002125,0.133237314280992,513.356716790431,521.347034072768,
z_genetic_dist,-1.08060092642729,0.261008435967854,-4.14009961946357,7.07358441301266e-05,-1.59819044968037,-0.563011403174214,toefl,Listening,z_genetic_dist,single_distance,106,0.141492197002125,0.133237314280992,513.356716790431,521.347034072768,0.00045825046757665
(Intercept),22.0660377358491,0.262747347080247,83.9819620675742,2.16427866080443e-97,21.5449998866049,22.5870755850932,toefl,Listening,z_syntactic_dist,single_distance,106,0.121729280871271,0.113284370110418,515.769182751911,523.759500034247,
z_syntactic_dist,-1.00229743438679,0.263995560030432,-3.79664504308803,0.000246946702457362,-1.52581053675222,-0.478784332021355,toefl,Listening,z_syntactic_dist,single_distance,106,0.121729280871271,0.113284370110418,515.769182751911,523.759500034247,0.00098778680982945
(Intercept),22.0660377358491,0.267908270056179,82.3641529663193,1.58851199234636e-96,21.5347655826723,22.5973098890258,toefl,Listening,z_morphological_dist,single_distance,106,0.0868881800951214,0.0781082587498823,519.89295015856,527.883267440896,
