pair_id,n,Speaking,new_feat,new_sounds,AaA,LoR,Edu.day,Enroll,prop_female,C,L1_code,L2_code,featural_dist,script_dist,geographic_dist,genetic_dist,syntactic_dist,morphological_dist,phonological_dist,inventory_dist,z_featural_dist,z_script_dist,z_geographic_dist,z_genetic_dist,z_syntactic_dist,z_morphological_dist,z_phonological_dist,z_inventory_dist
hung1274__poli1260,1,541,6,13,21,18,3,96,1,Hungary,hung1274,poli1260,0.5341,0,0.0229,1,0.521,0.6586,0.2736,0.5007,-0.248740195592509,-1.50392159378278,-0.857704673925903,0.83098441244373,-0.546599998138404,0.0534199254635125,-0.610933782477239,0.139136130821945
hung1274__hebr1245,1,542,6,13,24,2,3,96,1,Hungary,hung1274,hebr1245,0.5893,0.5829,0.0897,1,0.5595,0.6664,0.4477,0.6219,0.455012358268425,2.23567492259451,-0.227268120629924,0.83098441244373,-0.127354567039155,0.128177044496905,1.29912330861467,1.7875995152617
icel1247__stan1293,36,536.638888888889,14,20,27.1666666666667,1.69444444444444,3.38888888888889,108.527777777778,0.722222222222222,Iceland,icel1247,stan1293,0.5505,0,0.0642,0.7323,0.5584,0.6936,0.427,0.4694,-0.0396542919091885,-1.50392159378278,-0.467928780945006,-0.636101515889671,-0.139333007927705,0.388868536510785,1.07202289629071,-0.286580898327927
icel1247__stan1288,1,591,14,20,26,2,4,109,1,Iceland,icel1247,stan1288,0.4744,0.1864,0.1147,0.9248,0.4762,0.4809,0.3433,0.4959,-1.00986388156167,-0.30807189288601,0.00867370320839106,0.418863150543574,-1.03444922705389,-1.64970059405364,0.153747316024232,0.0738504522302708
icel1247__mand1415,1,481,14,20,49,4,4,99,1,Italy,icel1247,mand1415,0.6255,0.641,0.2982,1,0.6053,0.8945,0.3695,0.6167,0.916531243227949,2.60841562872167,1.74048669018163,0.83098441244373,0.371384153593197,2.31434356392213,0.441188417613021,1.71687336345405
icel1247__stan1295,2,504.5,14,20,34,1,1.5,109,1,Iceland,icel1247,stan1295,0.4496,0.1864,0.1025,0.6667,0.4567,0.4086,0.4034,0.4626,-1.32604256518035,-0.30807189288601,-0.106465906824707,-0.995611552866403,-1.24679431553273,-2.342641582017,0.81310648417256,-0.379068942999464
icel1247__ital1282,1,505,14,20,20,2,3,86,1,Romania,icel1247,ital1282,0.4992,0.1864,0.1233,0.9131,0.5046,0.5754,0.3433,0.4676,-0.693685197942991,-0.30807189288601,0.0898376906087716,0.354743220168151,-0.725187662294966,-0.743989344226002,0.153747316024232,-0.311063027799804
nucl1417__stan1293,63,486.126984126984,15,17,28.5873015873016,5.06349206349206,3.04761904761905,36.2698412698413,0.317460317460317,Nigeria,nucl1417,stan1293,0.6286,0.1864,0.2142,1,0.6773,0.7854,0.4878,0.4772,0.956053578680286,-0.30807189288601,0.947722162084886,0.83098441244373,1.15542755720738,1.26870232205763,1.73906178852728,-0.180491670616457
nucl1417__stan1290,1,513,15,17,38,3,4,35,0,Nigeria,nucl1417,stan1290,0.6074,0,0.1926,1,0.665,0.8003,0.5959,0.4329,0.685771800748188,-1.50392159378278,0.743868426288581,0.83098441244373,1.02148680908995,1.41150758790347,2.92503060844133,-0.783024079285443
indo1316__stan1293,1103,502.663644605621,19,20,26.3717135086129,3.28921124206709,3.27470534904805,64.5086128739801,0.787851314596555,Indonesia,indo1316,stan1293,0.59,0.4161,0.4185,1,0.6388,0.7434,0.3277,0.4546,0.463936756596371,1.16556907436714,2.8758387464916,0.83098441244373,0.736182126108128,0.866163988800903,-0.0174008207996264,-0.487878407318919
indo1316__mand1415,9,499.777777777778,19,20,31.5555555555556,2.55555555555556,3.33333333333333,64,0.888888888888889,Indonesia,indo1316,mand1415,0.5505,0.5765,0.2096,1,0.5523,0.7245,0.4576,0.5185,-0.0396542919091885,2.19461570539634,0.904308866498636,0.83098441244373,-0.205758907400573,0.685021738835377,1.40773654929135,0.381237188932733
