dataset,native_code,target_code,speaking_score,n_observations,native_language,target_language,asjp_lexical,concepts_lexical,glottolog_genetic,l2v_genetic,urielplus_genetic,modality_hyperbolic,l2v_geographic,urielplus_geographic,modality_speaker,grambank_typological,qwals_typological,l2v_featural,l2v_syntactic,urielplus_featural,urielplus_syntactic,urielplus_morphological,modality_island,l2v_inventory,l2v_phonological,phoible_phonological,urielplus_inventory,urielplus_phonological,scripts_script,urielplus_script,pair_id,outcome,outcome_z
toefl,beng1280,stan1293,23.0,1,Bengali,English,0.48605991166758,0.12,0.825757575757576,0.875,0.9196,18.103352,0.4,0.3019,0.338877478734136,,0.325450059844226,0.6,0.7,0.615,0.6748,0.6969,0.190385254325138,0.4982,0.4054,0.696969696969697,0.4982,0.3729,1.0,0.6368,toefl::beng1280->stan1293,23.0,0.4945228963195119
toefl,bosn1245,stan1293,24.0,1,Bosnian,English,0.447973753672688,,0.825757575757576,0.9,0.9196,23.954674,0.1,0.0729,0.281783179584391,,0.5,0.8,0.61,0.5178,0.5136,0.5779,0.174878453718769,0.5983,0.5687,,0.5093,0.4034,0.75,0.1864,toefl::bosn1245->stan1293,24.0,0.8923721437344581
toefl,bulg1262,stan1293,23.0,1,Bulgarian,English,0.463217220716186,0.0699999999999999,0.791666666666667,0.8571,0.9131,18.619728,0.1,0.0896,0.292407999546662,,0.201968853290264,0.5,0.48,0.5636,0.5924,0.6236,0.175280987395613,0.521,0.2804,0.666666666666667,0.521,0.2677,0.75,0.1864,toefl::bulg1262->stan1293,23.0,0.4945228963195119
toefl,cebu1242,stan1293,23.0,1,Cebuano,English,0.486107814155779,0.0799999999999999,1.0,1.0,1.0,20.45974,0.6,0.4046,0.447456563201428,0.536056267418897,0.329365094502767,0.7,0.8,0.635,0.6734,0.7854,0.178654675204432,0.5371,0.5687,0.581395348837209,0.5371,0.2677,0.666666666666667,0.1864,toefl::cebu1242->stan1293,23.0,0.4945228963195119
toefl,cent1972,stan1293,21.0,1,Kurdish,English,0.469315302944268,0.0899999999999999,0.816666666666667,0.9,0.9196,18.120289,0.2,0.1645,0.307310654426099,,0.241833343505859,0.9,0.92,0.6454,0.77,0.5901,0.199259511947339,0.5983,0.5687,0.655172413793103,0.4991,0.3548,1.0,0.4161,toefl::cent1972->stan1293,21.0,-0.3011755985103804
toefl,cent1989,stan1293,21.0,1,Khmer,English,,0.0899999999999999,1.0,1.0,1.0,21.16455,0.5,0.3638,0.403843371236707,0.512147519731584,0.301735637343933,0.6,0.64,0.6253,0.6443,0.8019,0.181110033752147,0.5101,0.5207,0.692307692307692,0.5101,0.5456,1.0,0.6667,toefl::cent1989->stan1293,21.0,-0.3011755985103804
toefl,croa1245,stan1293,24.0,1,Croatian,English,0.464663833492558,0.1,0.825757575757576,0.9,0.9196,23.955406,0.1,0.0639,0.278836013997524,0.493480816306142,,0.6,0.79,0.5212,0.5204,0.5779,0.174754927513953,0.5093,0.5687,0.636363636363636,0.5093,0.4034,0.666666666666667,0.1864,toefl::croa1245->stan1293,24.0,0.8923721437344581
toefl,czec1258,stan1293,24.0,1,Czech,English,0.471034484324374,0.06,0.773809523809524,0.9,0.9131,18.86049,0.1,0.0481,0.285964668718881,0.477939740907875,0.210868623521593,0.6,0.66,0.5992,0.6234,0.684,0.178673896547748,0.5368,0.5687,0.574074074074074,0.5368,0.2677,0.666666666666667,0.1864,toefl::czec1258->stan1293,24.0,0.8923721437344581
toefl,dani1285,stan1293,26.0,1,Danish,English,0.377783204790575,0.03,0.547619047619048,0.7,0.7323,15.934754,0.0,0.0292,0.286349287702212,0.466995831226552,0.117912257159198,0.7,0.5,0.5372,0.5459,0.7413,0.162299177049591,0.5983,0.5687,0.75,0.4346,0.2617,0.666666666666667,0.0,toefl::dani1285->stan1293,26.0,1.6880706385643505
toefl,dutc1256,stan1293,25.0,1,Dutch,English,0.329946874327002,0.03,0.541666666666667,0.6,0.7068,14.338248,0.0,0.0174,0.282829252479655,0.413502667414068,0.150146880707183,0.5,0.49,0.5343,0.5416,0.6462,0.157329700162668,0.4861,0.5687,0.567164179104478,0.4861,0.3548,0.666666666666667,0.1864,toefl::dutc1256->stan1293,25.0,1.2902213911494043
