dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
toefl,toefl_00016,Burmese,nucl1310,English,stan1293,21,0.485161709800197,0.0899999999999999,1,0.571428571428572,0.5,1,0.4,0.3323,0.2566,0.73,20.9274,0.175535607608333,0.377516370779029,0.546875,0.358875766877205,1,0.6225,1,0.319,0.3323,0.721,0.3141,0.6368,0.7446
toefl,toefl_00017,Catalan,stan1289,English,stan1293,23,0.458978820840091,0.05,0.833333333333333,0.485984469425323,0.5,0.9,0.1,0.4581,0.2804,0.53,18.165714,0.159228501660365,0.315396052514023,0.637931034482759,0.215603726250785,0.666666666666667,0.5343,0.9328,0.0526,0.4581,0.696,0.1864,0.1864,0.5465
toefl,toefl_00018,Cebuano,cebu1242,English,stan1293,23,0.486107814155779,0.0799999999999999,1,0.536056267418897,0.7,1,0.6,0.5371,0.5687,0.8,20.45974,0.178654675204432,0.447456563201428,0.581395348837209,0.329365094502767,0.666666666666667,0.635,1,0.4046,0.5371,0.7854,0.2677,0.1864,0.6734
toefl,toefl_00019,Chichewa (Nyanja),nyan1308,English,stan1293,22,0.488963740863056,0.11,1,,0.8,1,0.4,0.5983,0.5687,0.69,21.19484,0.202214289594367,0.453948280421112,,0.220653400864712,0.666666666666667,0.6888,1,0.3096,0.5233,0.7837,0.4934,0.1864,0.7608
toefl,toefl_00020,Chinese,mand1415,English,stan1293,21,0.494917150446141,0.0799999999999999,1,0.53252426193765,0.6,1,0.4,0.5926,0.39,0.55,18.87491,0.210733174876038,0.357435554548446,0.777777777777778,0.257795969645182,0.8,0.6462,1,0.3047,0.5926,0.8278,0.4878,0.641,0.6488
toefl,toefl_00021,Croatian,croa1245,English,stan1293,24,0.464663833492558,0.1,0.825757575757576,0.493480816306142,0.6,0.9,0.1,0.5093,0.5687,0.79,23.955406,0.174754927513953,0.278836013997524,0.636363636363636,,0.666666666666667,0.5212,0.9196,0.0639,0.5093,0.5779,0.4034,0.1864,0.5204
toefl,toefl_00022,Czech,czec1258,English,stan1293,24,0.471034484324374,0.06,0.773809523809524,0.477939740907875,0.6,0.9,0.1,0.5368,0.5687,0.66,18.86049,0.178673896547748,0.285964668718881,0.574074074074074,0.210868623521593,0.666666666666667,0.5992,0.9131,0.0481,0.5368,0.684,0.2677,0.1864,0.6234
toefl,toefl_00023,Danish,dani1285,English,stan1293,26,0.377783204790575,0.03,0.547619047619048,0.466995831226552,0.7,0.7,0,0.5983,0.5687,0.5,15.934754,0.162299177049591,0.286349287702212,0.75,0.117912257159198,0.666666666666667,0.5372,0.7323,0.0292,0.4346,0.7413,0.2617,0,0.5459
toefl,toefl_00024,Dutch,dutc1256,English,stan1293,25,0.329946874327002,0.03,0.541666666666667,0.413502667414068,0.5,0.6,0,0.4861,0.5687,0.49,14.338248,0.157329700162668,0.282829252479655,0.567164179104478,0.150146880707183,0.666666666666667,0.5343,0.7068,0.0174,0.4861,0.6462,0.3548,0.1864,0.5416
toefl,toefl_00025,English,stan1293,English,stan1293,24,0,0,0,0,0,0,0,0,2e-04,0,0.0004472136,0,7.64304687390892e-20,,0,0,0,0,0,0,0,0,0,0
