country,country_name,country_code,confounder,source,source_name,year,timing,region
Denmark,Denmark,DNK,hdi,HDI,Denmark,2019,latest_available_at_or_before_2019,Europe
Belarus,Belarus,BLR,hdi,HDI,Belarus,2019,latest_available_at_or_before_2019,Europe
Finland,Finland,FIN,hdi,HDI,Finland,2019,latest_available_at_or_before_2019,Europe
Vietnam,Vietnam,VNM,hdi,HDI,Vietnam,2019,latest_available_at_or_before_2019,Asia
HongKong,Hong Kong,HKG,hdi,HDI,Hong Kong,2019,latest_available_at_or_before_2019,Asia
Malaysia,Malaysia,MYS,hdi,HDI,Malaysia,2019,latest_available_at_or_before_2019,Asia
Taiwan,Taiwan,TWN,hdi,HDI,,,,
Singapore,Singapore,SGP,hdi,HDI,Singapore,2019,latest_available_at_or_before_2019,Asia
Thailand,Thailand,THA,hdi,HDI,Thailand,2019,latest_available_at_or_before_2019,Asia
Croatia,Croatia,HRV,hdi,HDI,Croatia,2019,latest_available_at_or_before_2019,Europe
Romania,Romania,ROU,hdi,HDI,Romania,2019,latest_available_at_or_before_2019,Europe
Austria,Austria,AUT,hdi,HDI,Austria,2019,latest_available_at_or_before_2019,Europe
Slovakia,Slovakia,SVK,hdi,HDI,Slovakia,2019,latest_available_at_or_before_2019,Europe
Italy,Italy,ITA,hdi,HDI,Italy,2019,latest_available_at_or_before_2019,Europe
Philippines,Philippines,PHL,hdi,HDI,Philippines,2019,latest_available_at_or_before_2019,Asia
Chile,Chile,CHL,hdi,HDI,Chile,2019,latest_available_at_or_before_2019,South America
Japan,Japan,JPN,hdi,HDI,Japan,2019,latest_available_at_or_before_2019,Asia
NewZealand,New Zealand,NZL,hdi,HDI,New Zealand,2019,latest_available_at_or_before_2019,Oceania
Guyana,Guyana,GUY,hdi,HDI,Guyana,2019,latest_available_at_or_before_2019,South America
Cuba,Cuba,CUB,hdi,HDI,Cuba,2019,latest_available_at_or_before_2019,North America
Bolivia,Bolivia,BOL,hdi,HDI,Bolivia,2019,latest_available_at_or_before_2019,South America
Nepal,Nepal,NPL,hdi,HDI,Nepal,2019,latest_available_at_or_before_2019,Asia
Venezuela,Venezuela,VEN,hdi,HDI,Venezuela,2019,latest_available_at_or_before_2019,South America
Angola,Angola,AGO,hdi,HDI,Angola,2019,latest_available_at_or_before_2019,Africa
Ireland,Ireland,IRL,hdi,HDI,Ireland,2019,latest_available_at_or_before_2019,Europe
Malta,Malta,MLT,hdi,HDI,Malta,2019,latest_available_at_or_before_2019,Europe
Poland,Poland,POL,hdi,HDI,Poland,2019,latest_available_at_or_before_2019,Europe
Brazil,Brazil,BRA,hdi,HDI,Brazil,2019,latest_available_at_or_before_2019,South America
Guatemala,Guatemala,GTM,hdi,HDI,Guatemala,2019,latest_available_at_or_before_2019,North America
SierraLeone,Sierra Leone,SLE,hdi,HDI,Sierra Leone,2019,latest_available_at_or_before_2019,Africa
Nicaragua,Nicaragua,NIC,hdi,HDI,Nicaragua,2019,latest_available_at_or_before_2019,North America
Mexico,Mexico,MEX,hdi,HDI,Mexico,2019,latest_available_at_or_before_2019,North America
Peru,Peru,PER,hdi,HDI,Peru,2019,latest_available_at_or_before_2019,South America
Portugal,Portugal,PRT,hdi,HDI,Portugal,2019,latest_available_at_or_before_2019,Europe
Estonia,Estonia,EST,hdi,HDI,Estonia,2019,latest_available_at_or_before_2019,Europe
"Congo,DemocraticRepublicofthe","Congo, Democratic Republicofthe",COD,hdi,HDI,Democratic Republic of Congo,2019,latest_available_at_or_before_2019,Africa
Coted'Ivoire,Coted'Ivoire,CIV,hdi,HDI,Cote d'Ivoire,2019,latest_available_at_or_before_2019,Africa
Guinea,Guinea,GIN,hdi,HDI,Guinea,2019,latest_available_at_or_before_2019,Africa
Colombia,Colombia,COL,hdi,HDI,Colombia,2019,latest_available_at_or_before_2019,South America
Kazakhstan,Kazakhstan,KAZ,hdi,HDI,Kazakhstan,2019,latest_available_at_or_before_2019,Asia
Uzbekistan,Uzbekistan,UZB,hdi,HDI,Uzbekistan,2019,latest_available_at_or_before_2019,Asia
CapeVerde,Cape Verde,CPV,hdi,HDI,Cape Verde,2019,latest_available_at_or_before_2019,Africa
Hungary,Hungary,HUN,hdi,HDI,Hungary,2019,latest_available_at_or_before_2019,Europe
Latvia,Latvia,LVA,hdi,HDI,Latvia,2019,latest_available_at_or_before_2019,Europe
Lithuania,Lithuania,LTU,hdi,HDI,Lithuania,2019,latest_available_at_or_before_2019,Europe
Mongolia,Mongolia,MNG,hdi,HDI,Mongolia,2019,latest_available_at_or_before_2019,Asia
Moldova,Moldova,MDA,hdi,HDI,Moldova,2019,latest_available_at_or_before_2019,Europe
Ecuador,Ecuador,ECU,hdi,HDI,Ecuador,2019,latest_available_at_or_before_2019,South America
DominicanRepublic,Dominican Republic,DOM,hdi,HDI,Dominican Republic,2019,latest_available_at_or_before_2019,North America
Uruguay,Uruguay,URY,hdi,HDI,Uruguay,2019,latest_available_at_or_before_2019,South America
CostaRica,Costa Rica,CRI,hdi,HDI,Costa Rica,2019,latest_available_at_or_before_2019,North America
SouthAfrica,South Africa,ZAF,gdp_per_capita,WDI,South Africa,2019,latest_available_at_or_before_2019,
Sudan,Sudan,SDN,gdp_per_capita,WDI,Sudan,2019,latest_available_at_or_before_2019,
Afghanistan,Afghanistan,AFG,gdp_per_capita,WDI,Afghanistan,2019,latest_available_at_or_before_2019,
"Congo,Republic","Congo, Republic",COG,gdp_per_capita,WDI,"Congo, Rep.",2019,latest_available_at_or_before_2019,
Morocco,Morocco,MAR,gdp_per_capita,WDI,Morocco,2019,latest_available_at_or_before_2019,
Burundi,Burundi,BDI,gdp_per_capita,WDI,Burundi,2019,latest_available_at_or_before_2019,
Kenya,Kenya,KEN,gdp_per_capita,WDI,Kenya,2019,latest_available_at_or_before_2019,
CzechRepublic,Czech Republic,CZE,gdp_per_capita,WDI,Czechia,2019,latest_available_at_or_before_2019,
"Korea,South","Korea, South",KOR,gdp_per_capita,WDI,"Korea, Rep.",2019,latest_available_at_or_before_2019,
Cameroon,Cameroon,CMR,gdp_per_capita,WDI,Cameroon,2019,latest_available_at_or_before_2019,
Senegal,Senegal,SEN,gdp_per_capita,WDI,Senegal,2019,latest_available_at_or_before_2019,
