dataset,observation,native_language,native_code,target_language,target_code,speaking_score,asjp_lexical,concepts_lexical,glottolog_genetic,grambank_typological,l2v_featural,l2v_genetic,l2v_geographic,l2v_inventory,l2v_phonological,l2v_syntactic,modality_hyperbolic,modality_island,modality_speaker,phoible_phonological,qwals_typological,scripts_script,urielplus_featural,urielplus_genetic,urielplus_geographic,urielplus_inventory,urielplus_morphological,urielplus_phonological,urielplus_script,urielplus_syntactic
stex,stex_00026,Afrikaans,afri1274,Dutch,dutc1256,568,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00027,Afrikaans,afri1274,Dutch,dutc1256,529,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00028,Afrikaans,afri1274,Dutch,dutc1256,519,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00029,Afrikaans,afri1274,Dutch,dutc1256,525,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00030,Afrikaans,afri1274,Dutch,dutc1256,583,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00031,Afrikaans,afri1274,Dutch,dutc1256,505,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00032,Afrikaans,afri1274,Dutch,dutc1256,543,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00033,Afrikaans,afri1274,Dutch,dutc1256,554,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00034,Afrikaans,afri1274,Dutch,dutc1256,561,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
stex,stex_00035,Afrikaans,afri1274,Dutch,dutc1256,437,0.0979945691681306,0.04,0.564393939393939,,0.4,0.4,0.4,0.3948,2e-04,0.48,14.825356,0.160069057697869,0.457065212865054,0.7,0.0592592623498704,0.666666666666667,0.5513,0.4544,0.3215,0.3988,0.6185,0.3789,0.3776,0.6025
