"L1","C","L1L2","L2","AaA","LoR","Edu.day","Sex","Family","ISO639.3","Enroll","Speaking","morph","lex","new_feat","new_sounds"
"Polish","Poland","PolishGerman","German",40,1,4,"Female","Indo-European","pol ",100,596,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,3,3,"Female","Indo-European","pol ",100,532,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,3,3,"Female","Indo-European","pol ",100,518,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",34,1,4,"Female","Indo-European","pol ",100,558,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",32,4,4,"Female","Indo-European","pol ",100,529,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",29,2,3,"Female","Indo-European","pol ",100,571,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,4,3,"Female","Indo-European","pol ",100,475,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,1,3,"Female","Indo-European","pol ",100,548,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",12,10,3,"Female","Indo-European","pol ",100,509,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,3,3,"Female","Indo-European","pol ",100,527,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",31,1,4,"Female","Indo-European","pol ",100,514,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",21,3,3,"Female","Indo-European","pol ",100,486,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",36,0,4,"Female","Indo-European","pol ",100,595,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,4,3,"Female","Indo-European","pol ",100,525,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,3,4,"Female","Indo-European","pol ",100,566,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,10,3,"Female","Indo-European","pol ",100,573,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,1,4,"Female","Indo-European","pol ",100,518,0.0479,0.388004,14,25
"Polish","Poland","PolishRussian","Russian",35,8,3,"Female","Indo-European","pol ",100,478,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",33,1,4,"Female","Indo-European","pol ",100,474,0.0479,0.388004,14,25
"Polish","Poland","PolishMonolingual","Monolingual",22,4,3,"Female","Indo-European","pol ",100,557,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",29,2,4,"Female","Indo-European","pol ",100,544,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",24,4,4,"Female","Indo-European","pol ",100,520,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,3,3,"Female","Indo-European","pol ",100,493,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,3,4,"Male","Indo-European","pol ",100,503,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,1,3,"Female","Indo-European","pol ",100,472,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,4,3,"Female","Indo-European","pol ",100,543,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",23,1,4,"Female","Indo-European","pol ",100,564,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,1,4,"Female","Indo-European","pol ",100,542,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",20,2,3,"Female","Indo-European","pol ",100,542,0.0479,0.388004,14,25
"Polish","Poland","PolishGerman","German",32,1,4,"Female","Indo-European","pol ",100,527,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",21,1,4,"Male","Indo-European","pol ",100,503,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",25,3,4,"Female","Indo-European","pol ",100,534,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",26,1,3,"Female","Indo-European","pol ",100,548,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",22,6,3,"Female","Indo-European","pol ",100,514,0.0479,0.388004,14,25
"Polish","Poland","PolishEnglish","English",27,1,4,"Female","Indo-European","pol ",100,519,0.0479,0.388004,14,25
